state,level,effect_year,end_year,citation_year,policy_type,policy_type_simple,citation,authority,category_nutrition_labeling,category_institutional_procurement,category_nutrition_standards,category_product_reformulation,category_educational_campaign,category_other,category_other_who,age_children,age_elderly,data_source,description,details_voluntary,details_mandatory,details_taskforce,details_studies,details_pricing,details_farmerincentives,details_suggarfat,age_toddler,age_other,veteran,org_school,org_farmers,org_groceries,org_army,org_hospital,org_restaurant,org_vendingmachine,org_public,org_other
MD,state,2015,,,other,Other,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition standards: vending Adopted via contacting 10/23/15 All vended foods will have no trans-fat and less than 241 mg sodium per serving, and at least one item must have less than 140 mg per serving. At least 50% of foods will have ≤ 35% of total calories from fat; ≤ 10% of calories from saturated fat; ≤ 35% total weight from sugars; and ≤ 200 calories per label serving. In beverage vending, water is required to be placed in the position with the highest selling potential, high caloric beverages are to be placed in the position with the least selling potential. 50% of beverages must contain less than 40 calories per serving (except 100% juice and unsweetened milk). Other beverages that meet nutrition standards include sports drinks with ≤ 100 calories, milk (non-fat, 1%, including flavored with < 15g of added sugar per 240 ml serving), 100% fruit/vegetable juice; and fruit- based drinks with ≥ 50% juice and no added caloric sweeteners. 21",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
MD,local,2013,,,Resolution,Law,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending, Meetings In August 2013, the town of Forest Heights, MD passed a resolution to implement Healthy Options Beverage Standards for all vending machines and town-managed, contracted, or procured food and beverage services and programs. The resolution states that the standards should be reviewed every 3 years to ensure they meet or exceed the nationally-endorsed, science-based dietary recommendations. http://www.forestheightsmd.gov/Archive/ViewFile/Item/395",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
MD,county,2015,,,Statute and Regulation,Law,https://apps.howardcountymd.gov/olis/PrintSummary.aspx?LegislationID=1378,,1,0,1,0,0,0,0,1,0,CSPI,"Nutrition Standards: Vending Ordinance Number: CB 17-2015 In July 2015, the Howard County City Council passed a bill amending the county code to set nutrition standards for at food and beverages available in vending machines and sold as part of youth-oriented county programs. While the bill was vetoed by the County Executive, the City Council voted to override the veto, and the legislation went into effect in September 2015. At least 75 percent of food and beverage options available in vending machines on county property and all the packaged food served or sold through youth programs must meet the nutrition standards. Healthy beverage options include water; diet drinks (not to exceed one-third of the total beverage offerings); beverages that contain < 40 calories per serving; low- and non-fat milk or milk substitutes with no more than 130 calories per 8 ounces in containers < 12 ounces; and 100 percent fruit or vegetable juice with no added sweeteners and < 140 mg sodium in containers < 8 ounces. Healthier packaged food offerings must contain per package: 0 g trans fat, < 200 calories, < 35 percent of calories from fat (except for nuts and seeds), < 10 percent of calories from saturated fat, < 35 percent of calories from total sugar (except milk, fruits, or vegetables), and < 200 mg sodium. The bill requires that healthier options be displayed prominently and visibly, with at least half of each vending row reserved for the healthier options. The standards are enforced by the Department of County Administration through random and complaint-based inspections and biennial reports to the County Executive, County Council, and County Board of Health. Ordinance: https://apps.howardcountymd.gov/olis/GetFile.aspx?id=6402 Amended: https://apps.howardcountymd.gov/olis/PrintSummary.aspx?LegislationID=1378",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
MD,state,2017,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standard: Vending Resolution No. 17-02 In March 2015, the Maryland-National Capital Park and Planning Commission adopted a healthy vending policy requiring that half of the food and beverages meet nutrition criteria in contracts entered after July 1, 2017, and that the agency will strive to reach a higher percentage of healthy offerings in the future. All packaged food items must contain <0.5g trans fat per serving and <200mg of sodium per package, and all beverages must contain <250 calories and be <20 fluid ounces. Healthy food products 22     must contain <200 calories per package, <35 percent of total calories from fat (excluding 100 percent nuts or seeds without added fats), <10 percent of calories from saturated fat, and <35 percent of calories from total sugars (excluding nonfat, low-fat, and reduced-fat dairy products; non-dairy milk products; and fruits and vegetables). At least one healthy food choice offered must contain <140mg sodium, and sugarless gum and mints comply with the healthy food choices standards. A Healthy Beverage choice is <40 calories; nonfat and low-fat milk; soy milk that is <200 calories per container fortified with vitamin D or calcium; 100 percent fruit juice in <12-ounce containers, vegetable or fruit juice combined with water and no added caloric sweeteners with <200mg of sodium per container. Vegetable juice offered must be under <230mg of sodium. Water without caloric sweeteners must be stocked at all times. A designated staff person will be responsible for supporting training and implementation of the policy. Maryland-National Capital Park and Planning Commission Departments will develop a report by July 2019 that will assess compliance, analyze barriers, and make recommendations for future improvement. Following the first year, the report will be issued at least every other year. The Health and Benefits Office will review and, if necessary, revise the nutrition standards at least once every five years to ensure they reflect advances in science and updates to the Dietary Guidelines for Americans.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
MD,county,2017,,,Policy,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending In April 2017 the Montgomery County Council passed an act requiring that half of items offered in vending machines located on County-owned property meet nutrition standards in contracts entered on or after July 1, 2017 and 65% of items offered in contracts entered on or after July 1, 2018 must meet the standard. However, all packaged foods sold in vending machines must contain <0.5 grams of trans fat per serving and <200 mg of sodium per package, and all beverages must contain no more than 250 calories or more than 20 fluid ounces. Packaged snacks that meet the vending standards must contain <200 calories per package, <35 percent of calories from fat (excluding nuts or seeds without added fats), <10 percent of calories from saturated fat, and <35 percent of total calories from sugars (excluding nonfat, low-fat, and reduced-fat dairy products, non-dairy milk products, fruits, and vegetables). At least one item offered must comply with the FDA definition of low sodium (<140 milligrams per serving). To meet the standards, beverages must be <40 calories per serving; nonfat milk, low-fat milk, or soy milk that is <200 calories per container fortified with calcium or Vitamin D; 100 percent fruit or vegetable juice (that contains <230mg sodium per serving) in <12-ounce containers. Fruit juice sold in <12-ounce containers with water, no caloric sweeteners, and <200mg of sodium per container is also acceptable. Food and beverages that meet the healthy vending standards must be distinguishable from and priced competitively to items that do not meet the standards and be placed in slots with 23        the highest selling potential. Consistent with federal law, vended items must be labeled with caloric information prior to sale. http://www.montgomerycountymd.gov/COUNCIL/Resources/Files/bill/2017/20170418 _1-17A.pdf",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
MD,county,2017,,,Policy,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standard: Vending CB 26-2017 In July 2017, Prince George’s county passed a bill setting nutrition standards for foods and beverages sold in vending machines on county property. All packaged beverages must contain <250 calories and <20 fluid ounces, and all packaged foods and beverages must contain <0.5g trans fat per serving and <200mg sodium per package. Healthy Food Choices must also contain <200 calories per package, <35 percent of total calories from fat (except foods containing nuts or seeds without added fats), <10% calories from saturated fat, and < 35 percent of calories from total sugars (excluding nonfat dairy products, non-dairy milk products, fruits, and vegetables). At least one item must be <140mg per serving. Sugarless mints and chewing gum fit the standards. Healthy Beverage Choices must be <40 calories per serving; nonfat, low-fat, or soy milk that is <200 calories per container fortified with calcium or Vitamin D; 100 percent fruit juice or fruit juice with water (and no caloric sweeteners) sold in <12-ounce containers with <200mg of sodium per container; and vegetable juice with <230mg sodium, or fruit juice with water (and no caloric sweeteners) that is <200mg of sodium per container. Bottled water must also be offered at every vending machine. New vending contracts and contract renewals on or after July 1, 2017 must offer at least 50 percent of food and beverages that meet the healthy choice standards. This will increase to 65 percent for new contracts or renewals made on or after July 1, 2019. Food and beverages that meet the healthy vending standards must be distinguishable from those that do not, stocked in slots with the highest selling potential (beverages that do not meet the standards must be stocked in slots with the lowest selling potential), and priced competitively. Consistent with federal law, vended items must be labeled with caloric information prior to sale. The department will review the standards at least every five years to keep up to date with scientific advances including the Dietary Guidelines for Americans.",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
MA,state,2009,,,Executive Order,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Food Purchased and Served by State Agencies Massachusetts Governor Deval Patrick issued Executive Order 509 requiring that food for patients and confined persons meet nutrition standards. It exempts food service to employees, vending machines, and concessions. Massachusetts has a Healthy Meeting and Event Guide which offers recommended standards. 24        http://www.mass.gov/courts/docs/lawlib/eo500-599/eo509.pdf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
MA,city,2011,,,Executive Order,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Beverage Nutrition Standards: City Buildings and Property Through an executive order by Mayor Thomas Menino , the City of Boston ended the sale of high-sugar or “red” beverages (‘traffic light’ signage distinguishes green, yellow, and red beverages) in October 2011. The policy includes what can be sold or served in cafeterias, vending machines, concession stands, and at meetings, programs and events where beverages are purchased with City funds. http://www.cityofboston.gov/news/uploads/14552_36_9_3.pdf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
MN,state,2007,,,Statute,Law,https://www.revisor.mn.gov/rules/?id=2911&view=chapter#rule.2911.3900,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: State Correctional Facilities Statutory Authority: MS § 241.021 Administrative Rule: 2911.3900 The Minnesota State statute for correctional facilities, Chapter 2911, part 3900, includes specific nutrition requirements for meals served to inmates, which are based on a 2,400- calorie diet consistent with the Dietary Guidelines for Americans and Dietary Reference Intakes. Daily menus must include at least two servings of protein foods with 14 grams of protein each, including meat, eggs, fish, legumes, and meat alternatives; two servings of dairy foods (four servings are required for juveniles and pregnant females); at least five servings of fruits and vegetables, including at least one serving each of a vitamin C- rich and vitamin A-rich source; and at least six servings of whole grain or enriched cereal and bread products. Facilities are also encouraged to limit servings of fats, particularly saturated and trans fats, and added sugars. Additional food from any of the groups may be provided to meet the daily calorie requirements, as long as all minimum servings of food groups have been met. https://www.revisor.mn.gov/rules/?id=2911&view=chapter#rule.2911.3900",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
MN,city,2015,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending, Concessions, Events, and Meals In January 2015, the City of Bloomington, MN adopted a nutrition policy to ensure all food purchased by the city meets Smarter Choices Nutrition Guidelines and Recommended Practices, based on national recommendations. The 2015 goal is that 40% of city operated concessions and vending snacks and beverages meet these guidelines and 50% of meal options apply the recommended practices. Policy available upon request",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MN,city,2011,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Cafeteria, Vending, and Meeting In October 2011, the Minneapolis City Council passed a policy to improve the nutritional quality of foods and beverages served or sold through vending machines, cafeterias, meetings, and other City contracts that include food. The vending machines standards 25        require that 75% of the options meet nutrition guidelines, the cafeteria standards require one healthier meal option, and the meeting and contract standards include a variety of recommendations that should be considered for all meals and snacks. http://www.ci.minneapolis.mn.us/hr/benefits/WCMS1P-096529",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
MN,city,,,,other,Other,,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: Concessions The city adopted nutrition standards for 30% of food and beverage items sold through concessions at city recreational facilities. The facilities include an ice arena, outdoor pool, athletic complexes, and three parks. They plan to develop standards for vending at these facilities. http://www.health.state.mn.us/divs/oshii/ship/communities/bloomingtonedinarichfield .html",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MN,county,2015,,,Policy,Administrative Rule,,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending, County-sponsored events and meetings In July 2014, the Hennepin County Board approved a policy to require healthier foods for vending machines in county-owned and -leased buildings and county-sponsored meetings and events. In January 2015, the policy went into effect in the county’s administrative manual. At least 50 percent of the offered foods and beverages sold in vending machines must meet nutrition criteria. Snacks must contain 0g of trans fat per serving, <10 percent of calories from saturated fats (except for nuts that have no added fats or oils), <230mg sodium per serving, <200 calories per item, and <35 percent of weight from sugar, and cold food must be minimally processed, fresh, healthy with low- calorie options available. Beverages can be water, fat-free or low-fat milk, 100 percent fruit or vegetable juice, or be low in calories (40 calories per serving). At least 50 percent of the food served at county-sponsored meetings and events must be low in calories and/or served in small portions and include fresh fruits, vegetables, and whole grains. Board Approval: http://content.govdelivery.com/accounts/MNHENNE/bulletins/c4c3d4 Administrative Manual: http://www.hennepin.us/~/media/hennepinus/business/work- with-hennepin-county/documents/green-partners-nutrition-policy.pdf?la=en",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
MS,state,,,,other,Other,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending Using the Fit Pick program, Mississippi State agencies are required to offer 25% healthy options in all vending machines. The Mississippi State Department of Health has led the initiative and collaborated with blind vendors and other business owners to implement changes. They plan to transition from Fit Pick to 25% for the U.S. General Services Administration Department/U.S. Health and Human Services Department Health and Sustainability Guidelines. http://msdh.ms.gov/msdhsite/_static/43,10409,213,77.html 26",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
MS,city,2017,,,Executive Order,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending machines, on-site vendors, and cafeterias Executive Order: No 2017-12 In February 2017, the Mayor of Jackson, Mississippi, signed an executive order to set nutrition standards for foods and beverages purchased, sold, served, or otherwise provided by city agencies and departments through vending machines, on-site vendors, and cafeterias on property owned or leased by the city. The nutrition standards, which will be promulgated by the Office of the Mayor within 6 months of the effective date, must be consistent with the Health and Sustainability Guidelines for Federal Concessions (now the Food Service Guidelines for Federal Facilities) and Vending Operations and will be implemented within 6 months after the final rules are issued. The standards must be reviewed, and revised if necessary, at least once every five years with each update of the Dietary Guidelines for Americans. In addition, nutrition labeling for vending and at cafeterias must be provided consistent with the federal law.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
MS,city,2006,,,Executive Order,Administrative Rule,,,0,0,0,0,0,1,1,1,0,CSPI,"Nutrition Standards: Vending In 2006, Mayor Chip Johnson signed an Executive Order to either remove vending machines from City property or have all food and beverage options sold through vending machines on City property meet the National Alliance for Nutrition and Activity vending machine guidelines for schools. Policy available upon request",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
MO,city,2014,,,Resolution,Law,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending On March 6, 2014 the Kansas City, MO City Council adopted resolution 140130 to establish nutrition standards for 100% of beverages, 65% of snacks, and 50% of entrees sold through vending machines on city facilities. http://bit.ly/1cPx1mD",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
MO,city,2017,,,Executive Order,Administrative Rule,,,1,0,0,1,0,0,0,0,0,CSPI,"Nutrition Standards: Vending, Cafeterias, Concessions, and Meetings/events Executive Order 58 In April 2017, the mayor of the City of St. Louis signed an executive order that requires all food and beverages sold or served on city property meet the Foodservice Guidelines for Federal Facilities standards, which require that all packaged snacks contain 0 grams of trans fat and <200 mg of sodium per package and that 75 percent of packaged snacks meet nutrition criteria for calories, saturated fat, sugar, and positive nutrients. For beverages, the standards require that low-fat milk and 100 percent juice with no added sweeteners be available when milk and juice are offered, and the City of St. Louis follows the innovative beverage standard—that at least 75 percent of beverages must contain fewer than 40 calories per 8 ounces. Items sold in city-owned and operated vending machines, cafeterias, concessions, and meetings or events on city owned 27        property must meet the standards. Additionally, items that meet the standards must be competitively priced 20 percent lower per ounce than comparable products that do not meet the standards. Consistent with federal law, calorie labeling is required at point of purchase. Six months after the order takes effect, the standards must be written into the city’s food purchasing contracts and requests for proposals. During the six-month period after enactment, it should be encouraged to purchase foods and beverages that meet the standards to any extent possible under existing contracts. A three-year phase in will be set in place to allow for update for vendors and new contracts. The Health Director may revise the guidelines in accordance with updated scientific data and is also responsible for developing and maintaining specific standards for purchasing and service contracts.",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
MT,state,2014,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending, Meetings, and Cafeterias In January 2014, the Department of Public Health and Human Services passed policies establishing nutrition guidelines for vending machines (requiring at least 40% healthier options), state health department-sponsored meetings, and cafeterias in health department buildings.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
NV,state,2017,,,Policy,Administrative Rule,,,1,0,1,1,0,0,0,0,0,CSPI,"Nutrition Standard: Concessions, cafeterias/cafés, snack bars, vending In April of 2017, the Department of Employment, Training, and Rehabilitation and the Southern Nevada Health District adopted a policy requiring that food and beverages sold in concessions, micro-markets, cafeterias/cafés, snack bars, vending machines, and any other food retailers operated or subcontracted through the Business Enterprises of Nevada meet nutrition standards. At least 50 percent of beverages offered must be non- carbonated water without any caloric or non-caloric sweeteners; unflavored 2%, 1%, or nonfat milk or flavored 1% or nonfat milk that contains <160 calories per 8 oz; 100 percent fruit and/or vegetable juice without added sweeteners that contains <230mg sodium per 8 oz; and beverages that contain <40 calories per 8 oz and <100 calories per bottle. In cafeterias and cafés chilled water must be available at no extra charge, soda fountains must provide both water and non-caloric carbonated water, and at least 50 percent of the offerings from the soda fountain must meet the standards described above. Any fresh-made smoothies and juices must have no added caloric or non-caloric sweeteners. The food standards state that 50 percent of snack foods offered must contain <250 calories, <230 mg of sodium, <10 g fat and <3 g saturated fat (excluding nuts and seeds), <20 g total sugars (excluding unsweetened dried fruit), <10 percent of total calories from added sugars. Commercially pre-packaged meals must contain <500 calories, <480 mg of sodium, <35 percent of total calories from fat and <10 percent of total calories from saturated fat (excluding nuts and seeds), <20 g total sugars (excluding unsweetened dried fruit), <10 percent of total calories from added sugars. In order for 28        yogurt to meet the standards, it must be 1%, 2% or nonfat with <20 g of total sugar per 6 ounces. Gum and mints are exempt from the nutrition standards. Additionally, cafeterias and cafes must serve at least four menu items that contain (as applicable) lean proteins (defined by USDA) that are unprocessed and grilled, steamed, roasted, or baked (not dep fried); 100 percent whole grain products; 1% or nonfat unsweetened dairy; raw or cooked and unsweetened fruit; and vegetables that raw, grilled, steamed, roasted, or baked (not dep fried). Combination meals must include a side and/or beverage option that meets the nutrition standards at no additional charge. All canned and frozen fruit offered must be packaged in 100 percent water or juice without any added sweeteners. Additionally, cafeterias and cafés must offer at least three of the following standards daily: unsweetened fruits, leafy salads with at least one vinegar-based salad dressing option, a steamed, baked, roasted, or grilled vegetable; soup that is <480 mg sodium per 8oz; or 100 percent whole grain options for substitution at no extra cost. The cafeteria must highlight foods that that meet the nutrition standards on menu boards. Calorie information must be disclosed for all foods and beverages. Items meeting the nutrition standards should be promoted, advertised, and priced at or below those that do not. Bottled water must be priced at least $0.25 lower than a sugar-sweetened beverage of the same size. Nutrition standards will be reassessed within six months of each Dietary Guidelines for Americans update.",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
NM,city,2016,,,Resolution,Law,https://cabq.legistar.com/LegislationDetail.aspx?ID=2724085&GUID=C6244A21-58CF-,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending City Council resolution no. R-16-52, adopted August 2016 The Albuquerque City Council passed a resolution requiring the city to adopt vending labeling and food and beverage standards consistent with the U.S. Department of General Services Administration’s guidelines for items sold in vending machines on city property. https://cabq.legistar.com/LegislationDetail.aspx?ID=2724085&GUID=C6244A21-58CF- 4EC4-AA95-D03538F3EF17&Options=ID|Text|&Search=52",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
NY,state,2008,,,Policy,Administrative Rule,https://www.ncbi.nlm.nih.gov/pubmed/24650846,,0,1,0,0,0,0,0,1,1,CSPI,"Nutrition Standards: Food Purchased or Served on City Property New York City has a comprehensive food procurement policy that outlines standards for any food purchased or served on government property. The standards are separated into Standards for Purchased Food, Standards for Meals and Snacks Served, and Agency and Population-Specific Standards and Exceptions. The population-specific guidelines outline nutrition standards for children, seniors, correctional facilities, and patients under therapeutic care. http://www.cspinet.org/new/pdf/nyc_agency_food_standards.pdf Development and initial implementation of the standards: https://www.ncbi.nlm.nih.gov/pubmed/24650846 29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NY,county,2014,,,Resolution,Law,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending, Concessions, and Cafeterias On July 29th 2014, the Suffolk County Legislature passed Local Law No. 24-2014, which establish nutrition guidelines for foods and beverages sold through vending machines, concession stands, and cafeterias on County property. The nutrition guidelines will be incorporated into County contracts as they come up for renewal. In addition to requiring the nutrition guidelines, the resolution requires that all promotional space on vending machines display items that meet the nutrition guidelines and that vendors display the calorie content of vending machine options. http://legis.suffolkcountyny.gov/Resos2014/i1096-14.pdf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
NY,state,2011,,,Resolution,Law,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standard: Vending Resolution No. 128 In May 2011, The Ulster County legislature approved a resolution requiring that at least half of the food and beverages sold in vending machines on county-owned or -leased property must meet nutrition standards. At least half of the beverages must be a combination of water, 100 percent fruit or vegetable juice, fruit-based drinks containing at least 50% juice and no caloric sweeteners, and sports drinks that contain <100 calories. These beverages, except water, must be sold in containers <12 ounces, and the preferred serving size for juices is <6 ounces. At least half of snacks must contain <250 calories and no added trans fat and be gluten and peanut free. The resolution required that the policy be in effect once a vendor was identified and no later than January 1, 2012. http://ecode360.com/documents/UL2774/public/232871324.pdf",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
NC,county,2011,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Beverage and Nutrition standards: vending and city-sponsored meetings and events Executive Order by Board of County Commissioners, 12/20/11. Policy developed with County Health Department. Beverages allowed in vending machines include milk (1%, fat-free and milk alternatives) with ≤ 130 calories per 8 fl. oz.; 100% juice with ≤ 120 calories per 8 fl. oz. and no added caloric sugars sweeteners, all other beverages with ≤ 10 calories per serving. Water must be available in all vending machines. Vended food (other than nuts) must be sold in single serving packages. The contents must be ≤ 200 calories, ≤ 35% calories from fat, ≤ 240mg of sodium, 0g trans-fat, no hydrogenated oils, ≤ 1g of saturated fat, ≤ 35% total weight from sugars (not including non-processed fruits and vegetables). 100% nuts and seeds must be ≤ 1.5oz and 140mg of sodium per label serving. Meals served at meetings should contain lean protein, a vegetarian protein, 2 servings of fruits or vegetables and whole grains. Snacks at meetings and events must meet 30        nutrition standards for calories, sodium, and trans and saturated fats and water and low calorie beverages must be available among offered beverage options. If juice is offered it must be 100% juice.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
OH,city,2013,,,Resolution,Law,,,0,0,0,0,0,1,1,1,1,CSPI,"Nutrition Standards: Food and Beverages Purchased with Public Funds and Programs that Coordinate with Public Agencies In 2013, through its Healthy Cleveland Initiative, the City of Cleveland, along with the Cleveland Cuyahoga County Food Policy Coalition, The Greater Cleveland Food Bank, Ohio State University Extension, and others developed voluntary nutrition guidelines for foods and beverages purchased with public funds and programs that coordinate with public agencies, such as food banks, recreation centers, afterschool programs, and senior centers. In October 2013, the Cleveland City Council endorsed the voluntary guidelines in a resolution. http://cccfoodpolicy.org/sites/defaultiles/resources/healthy_cleveland_nutrition_guid elines.pdf http://www.joecimperman.com/sites/defaultiles/documents/healthy%20cle%202.0% 20resolution.pdf",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OK,city,2015,,,Executive Order,Administrative Rule,https://www.cityoftulsa.org/media/426861/2015-04.pdf,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending Executive Order Number 2015-04 Establishes standards for healthier food and beverages in vending machines located on – owned or leased – city property. Requires caloric information at the point of sale. All vended foods must meet trans-fat and sodium standards and 35% of packaged food choices must meet caloric, saturated fat and sugar standards. 50% of beverage options other than 100% juice and unsweetened milk must contain no more than 40 calories per serving. The executive order became effective June 30, 2015. https://www.cityoftulsa.org/media/426861/2015-04.pdf",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
OR,city,2010,,,other,Other,,,0,0,0,0,0,1,1,1,0,CSPI,"Nutrition Standards: Community Centers and Pools In August 2010, the City of Portland’s Parks and Recreation Department adopted their “Healthy Snacks Nutritional Standards” for all food and beverages sold at community centers and pools. The standards are the same as those used for Oregon high schools. http://www.portlandonline.com/parks/index.cfm?a=312791&c=43957",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OR,county,,,,other,Other,https://multco.usile/48756/download,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Foods Services for Correctional Facilities RFP No: 4000004216 31        The Multnomah County corrections request for proposals for food services requires that proposed menus be consistent the Dietary Guidelines for Americans and all proposals be reviewed by a registered dietitian to ensure adequate nutrient intake. The minimum calorie requirement of adult meals is 2,650 calories (with the exception of inmates assigned to outside work crews, in which case the minimum is 3,000 calories). Daily menus must contain < 2,300 mg of sodium, < 10 percent of calories from saturated fat, and 30 mg of dietary cholesterol. Additionally, one condiment and one 8-ounce beverage can be added to the daily calorie and nutrient requirements. https://multco.usile/48756/download",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
PA,city,2014,,,Executive Order,Administrative Rule,,,0,0,0,0,0,1,1,1,0,CSPI,"Nutrition Standards: Foods and Beverages Purchased, Prepared, and Served by City Agencies Executive Order No. 4-14, passed June 2014 and updated June 2016 In 2011, the City of Philadelphia started implementing healthy beverage vending standards for machines in city-owned buildings. In June 2014, the Mayor issued Executive Order 4-14, which required the health commission, in collaboration with other affected city agencies, to create nutrition guidelines for all foods and beverages contracted by city agencies. The nutrition guidelines cover individual purchased food items, meals and snacks served, population-specific standards (with some exceptions), and vending on property owned or leased by the city. Standards are also encouraged for meetings, public concessions, and special events. In 2016, the nutrition standards were updated align with other existing guidelines, including the 2015–2020 Dietary Guidelines, the Child and Adult Care Food Program meal patterns, and the American Heart Association’s healthy workplace food and beverage guidelines. Vending standards require that 100% of foods and beverages offered must meet sodium and trans fat limits, and a minimum of 65% of offerings must meet other nutrition standards. Additionally, healthy options should be placed in the highest-selling positions (usually at eye level); calorie information should be available at the time of purchase; and portion sizes of unhealthy beverages should be limited to 12 ounces. Lower pricing for healthier options is encouraged. Nutrition Standards: http://www.phila.gov/health/pdfs/NutritionStandards_%20FinalJune2016.pdf Executive Order: http://www.phila.gov/ExecutiveOrders/Executive%20Orders/eo%204- 14.pdf",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SC,city,2017,,,Policy,Administrative Rule,,,1,0,0,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending, Meetings and Events, on-site vendors and Cafeterias Resolution No: R-2017-023 In February 2017, the Mayor and City Council of Columbia approved a policy that charges the City Manager with developing nutrition standards for foods and beverages 32        purchased, sold, served, or provided by the city. The standards must be consistent with those set by the American Heart Association and the Food Service Guidelines for Federal Facilities, including calories, portions, saturated and trans fats, sodium, sugar, and the presence of fruits, vegetables and whole grains. In accordance with federal law, point- of-purchase nutrition labeling must be present on all vending machines, on-site vendors, and cafeterias on properties owned or leased by the city. Within a year the City Manager must establish the standards, with consideration of monitoring and enforcement. A wellness team, created by the City Manager, is responsible for monitoring and annually reporting on compliance, successes, challenges, and recommendations. Full implementation of the vending machine standards must be completed within one year of the effective date, while full implementation of the standards for meetings, events, on-site vendors, and cafeterias must be achieved within three years. http://columbiacitysc.iqm2.com/citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1190 &MediaPosition=&ID=3259&CssClass",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0
